DMR-RP-0    DMR-RP-1    DMR-RP-2
325.5       217.0       279.0
248.0       248.0       279.0
372.0       279.0       294.5
201.5       294.5       263.5
217.0       248.0       372.0
372.0       294.5       201.5
248.0       263.5       310.0
356.5       263.5       279.0
263.5       201.5       294.5
263.5       294.5       372.0
201.5       263.5       341.0
294.5       279.0       263.5
263.5       248.0       294.5
279.0       341.0       248.0
263.5       201.5       387.5
248.0       294.5       263.5
279.0       201.5       279.0
263.5       372.0       294.5
201.5       248.0       294.5
279.0       387.5       217.0


NO-DMR-0    NO-DMR-1    NO-DMR-2
294.5       201.5       325.5
201.5       310.0       294.5
449.5       279.0       279.0
263.5       186.0       263.5
263.5       217.0       201.5
263.5       387.5       341.0
263.5       248.0       341.0
387.5       294.5       201.5
325.5       279.0       294.5
341.0       263.5       263.5
263.5       201.5       263.5
201.5       279.0       248.0
372.0       279.0       279.0
201.5       341.0       201.5
217.0       279.0       294.5
310.0       201.5       434.0
387.5       294.5       263.5
263.5       217.0       263.5
263.5       232.5       294.5
263.5       341.0       248.0
