error_model,detection_outcome,min_err,max_err,avg_err,diff_vals_count,relative_sum
RANDOM_VALUE,TRUE_POSITIVE,2.32591978609911602689e+05,1.61795790884325921535e+08,8.10141914314679205418e+07,2,1.62028382862935841084e+08
RANDOM_VALUE,TRUE_POSITIVE,2.27412084717656060029e-01,3.23779188483312285740e+00,1.73260198477538951423e+00,2,3.46520396955077902845e+00
RANDOM_VALUE,TRUE_POSITIVE,1.22325110940568748674e-06,3.09436693796283357472e-03,1.54779509453611963110e-03,2,3.09559018907223926220e-03
RANDOM_VALUE,TRUE_POSITIVE,2.03568667083068266521e+00,2.03568667083068266521e+00,2.03568667083068266521e+00,1,2.03568667083068266521e+00
RANDOM_VALUE,TRUE_POSITIVE,2.95684620931910074866e+172,2.52665109379592516622e+173,1.41116785736391755190e+173,2,2.82233571472783510379e+173
RANDOM_VALUE,TRUE_POSITIVE,5.81226089223137154649e+283,1.02027217438539842829e+284,8.00749131804267874014e+283,2,1.60149826360853574803e+284
RANDOM_VALUE,TRUE_POSITIVE,3.09236619164419194395e+137,1.62549106989436971386e+139,8.28207365905405750546e+138,2,1.65641473181081150109e+139
RANDOM_VALUE,TRUE_POSITIVE,7.17112328616092097465e+45,2.65705182388296981117e+46,1.68708207624953089094e+46,2,3.37416415249906178187e+46
RANDOM_VALUE,TRUE_POSITIVE,2.77547785753573486947e+197,6.67503854964315407555e+198,3.47629316769836398043e+198,2,6.95258633539672796086e+198
RANDOM_VALUE,TRUE_POSITIVE,3.13244649509660133546e-01,6.39845215137570111352e+00,3.35584840044268073456e+00,2,6.71169680088536146911e+00
RANDOM_VALUE,TRUE_POSITIVE,1.88651848494298723935e-01,1.00000000000000000000e+00,5.94325924247149361968e-01,2,1.18865184849429872394e+00
RANDOM_VALUE,TRUE_POSITIVE,6.20910134582834433219e+94,9.55821679376858667571e+94,7.88365906979846587449e+94,2,1.57673181395969317490e+95
RANDOM_VALUE,TRUE_POSITIVE,1.43930186824459127592e-06,2.00660468520523771474e-02,1.00337430769603108693e-02,2,2.00674861539206217387e-02
RANDOM_VALUE,TRUE_POSITIVE,1.80858256916008874882e-02,1.00000000000000000000e+00,5.09042912845800499255e-01,2,1.01808582569160099851e+00
RANDOM_VALUE,TRUE_POSITIVE,4.77425242540749481012e+226,1.13665497374299764126e+230,5.68566199492769234925e+229,2,1.13713239898553846985e+230
RANDOM_VALUE,TRUE_POSITIVE,1.09199250396438518607e-01,1.09199250396438518607e-01,1.09199250396438518607e-01,1,1.09199250396438518607e-01
RANDOM_VALUE,TRUE_POSITIVE,4.07576695924460885578e-03,1.00000000000000000000e+00,5.02037883479622304428e-01,2,1.00407576695924460886e+00
RANDOM_VALUE,TRUE_POSITIVE,3.22435625519190693922e-03,1.00000000000000000000e+00,5.01612178127595953470e-01,2,1.00322435625519190694e+00
RANDOM_VALUE,TRUE_POSITIVE,2.46950695791453350936e+298,4.10329998626480161024e+302,2.05177346848029640872e+302,2,4.10354693696059281744e+302
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1.48754991056405397103e+04,7.43824955282026985515e+03,2,1.48764991056405397103e+04
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,3.34618028111654041368e+02,1.67809014055827020684e+02,2,3.35618028111654041368e+02
RANDOM_VALUE,TRUE_POSITIVE,2.31812752601312510592e-05,4.75762784826194717880e-05,3.53787768713753614236e-05,2,7.07575537427507228472e-05
RANDOM_VALUE,TRUE_POSITIVE,6.11685997203175180204e-02,1.52211726141522118994e+00,7.91642930567769353978e-01,2,1.58328586113553870796e+00
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,3.54343360542212337805e+01,1.82171680271106168902e+01,2,3.64343360542212337805e+01
RANDOM_VALUE,TRUE_POSITIVE,1.89911427560258472269e-01,1.46860648769734680741e+00,8.29258957628802639839e-01,2,1.65851791525760527968e+00
RANDOM_VALUE,TRUE_POSITIVE,7.29063798805080972689e+303,7.29063798805080972689e+303,7.29063798805080972689e+303,1,7.29063798805080972689e+303
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,7.20970235396713890327e+261,7.49898688378552408015e+265,3.74985392701046075444e+265,2,7.49970785402092150887e+265
RANDOM_VALUE,TRUE_POSITIVE,5.21137663497870447347e+82,1.13607739758351541099e+85,5.70644387109247029760e+84,2,1.14128877421849405952e+85
RANDOM_VALUE,TRUE_POSITIVE,4.89994145692340676845e-03,1.00000000000000000000e+00,5.02449970728461758895e-01,2,1.00489994145692351779e+00
RANDOM_VALUE,TRUE_POSITIVE,1.69932171552969246697e-01,1.14063532968119758948e+02,5.71167325698363654851e+01,2,1.14233465139672730970e+02
RANDOM_VALUE,TRUE_POSITIVE,9.55963609084552099392e+294,1.77932221912345939608e+295,1.36764291410400563429e+295,2,2.73528582820801126857e+295
RANDOM_VALUE,TRUE_POSITIVE,2.40731496230105781371e+22,4.67335737896582515073e+25,2.33788234696406321982e+25,2,4.67576469392812643965e+25
RANDOM_VALUE,TRUE_POSITIVE,1.17574733031863471728e+287,6.15484031934991605236e+287,3.66529382483427530029e+287,2,7.33058764966855060058e+287
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,3.68195015010286397228e-06,7.30467778875532047778e-06,5.49331396942909222503e-06,2,1.09866279388581844501e-05
RANDOM_VALUE,TRUE_POSITIVE,7.95532756019656475327e+160,1.02043935818921852002e+162,5.49996316895592071289e+161,2,1.09999263379118414258e+162
RANDOM_VALUE,TRUE_POSITIVE,1.09869743587387921153e+253,3.01286083862017091109e+254,1.56136529110377953008e+254,2,3.12273058220755906015e+254
RANDOM_VALUE,TRUE_POSITIVE,7.15259943360798361551e+167,3.80677404599553661312e+169,1.93915002016580825606e+169,2,3.87830004033161651212e+169
RANDOM_VALUE,TRUE_POSITIVE,4.63815610222492180625e-02,5.93854847118424178376e-01,3.20118204070336698219e-01,2,6.40236408140673396439e-01
RANDOM_VALUE,TRUE_POSITIVE,6.08613629620247120755e-03,3.68662692778886258438e+00,1.84635653204253258330e+00,2,3.69271306408506516661e+00
RANDOM_VALUE,TRUE_POSITIVE,3.21685758674585819961e-02,2.38457893566577361355e+00,1.20837375576661609777e+00,2,2.41674751153323219555e+00
RANDOM_VALUE,TRUE_POSITIVE,3.22272749805674330048e-03,1.28491752474996800970e+00,6.44070126124012376501e-01,2,1.28814025224802475300e+00
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,8.94355633430470646772e+01,4.52177816715235323386e+01,2,9.04355633430470646772e+01
RANDOM_VALUE,TRUE_POSITIVE,1.99097878684304507857e-01,2.38590083868220881413e+03,1.19304996828044659196e+03,2,2.38609993656089318392e+03
RANDOM_VALUE,TRUE_POSITIVE,3.10405708807692803930e-05,8.27035944556695490348e-02,4.13673175132751591576e-02,2,8.27346350265503183152e-02
RANDOM_VALUE,TRUE_POSITIVE,1.66201229346588319480e-01,1.00000000000000000000e+00,5.83100614673294215251e-01,2,1.16620122934658843050e+00
RANDOM_VALUE,TRUE_POSITIVE,5.12116886322355746586e-03,2.64379050366314416465e+00,1.32445583626318397208e+00,2,2.64891167252636794416e+00
RANDOM_VALUE,TRUE_POSITIVE,2.10367093313473807470e-02,1.00000000000000000000e+00,5.10518354665673745885e-01,2,1.02103670933134749177e+00
RANDOM_VALUE,TRUE_POSITIVE,4.68055918174847818136e-02,6.89313394694552661335e-01,3.68059493256018721574e-01,2,7.36118986512037443148e-01
RANDOM_VALUE,TRUE_POSITIVE,3.00739725688700159826e+177,3.56096077796727210506e+178,1.93085025182798622242e+178,2,3.86170050365597244484e+178
RANDOM_VALUE,TRUE_POSITIVE,5.00971333825903641923e-02,1.00000000000000000000e+00,5.25048566691295182096e-01,2,1.05009713338259036419e+00
RANDOM_VALUE,TRUE_POSITIVE,1.53191324376411586172e-03,2.79052556932872830586e+00,1.39602874128624621086e+00,2,2.79205748257249242172e+00
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,3.09192641571060585193e+03,1.54646320785530292596e+03,2,3.09292641571060585193e+03
RANDOM_VALUE,TRUE_POSITIVE,1.19173376312534595733e+00,5.46394365892806419538e+01,2.79155851762029953989e+01,2,5.58311703524059907977e+01
RANDOM_VALUE,TRUE_POSITIVE,3.93283277062863730154e+305,,,2,
RANDOM_VALUE,TRUE_POSITIVE,4.66789108127242391433e-01,2.24592234507557719780e+00,1.35635572660140990564e+00,2,2.71271145320281981128e+00
RANDOM_VALUE,TRUE_POSITIVE,1.67357691231497807550e+162,2.15191090565574442947e+164,1.08432333738944716605e+164,2,2.16864667477889433210e+164
RANDOM_VALUE,TRUE_POSITIVE,3.06168742907529185729e+194,8.67366201155470783107e+196,4.35213944292273053367e+196,2,8.70427888584546106734e+196
